target,perturbation,level,budget,r2_mean,r2_std,rmse_mean,rpd_mean,n_runs
car,gaussian_noise,0.01,30,0.49620890617370605,0.030601627224652993,2.031822122841364,1.4123743772506714,3
car,gaussian_noise,0.03,30,0.49523717164993286,0.021065010930465467,2.0341176174700237,1.4103037516276042,3
car,gaussian_noise,0.05,30,0.4794859488805135,0.04332980836930456,2.0646908810364497,1.3906972805658977,3
car,gaussian_noise,0.1,30,0.4450977643330892,0.06471612741546842,2.130587770983617,1.3492613633473713,3
cbc,gaussian_noise,0.0,30,0.7111464937527975,0.014052759524554495,0.0034323210149548897,1.8634305795033772,3
cbc,gaussian_noise,0.01,30,0.7124265631039938,0.010412880612089418,0.0034250104886848994,1.8670754830042522,3
cbc,gaussian_noise,0.03,30,0.7093956669171652,0.02859172292184599,0.003440543615012562,1.86138912041982,3
cbc,gaussian_noise,0.05,30,0.6774202585220337,0.026138191705106995,0.0036259051284632123,1.7651659647623699,3
cbc,gaussian_noise,0.1,30,0.5775632460912069,0.026740261110682097,0.004150242901688059,1.5414679845174153,3
cm,gaussian_noise,0.0,30,0.6753223737080892,0.03496632063882787,0.003607470751692068,1.7610925038655598,3
cm,gaussian_noise,0.01,30,0.6756769816080729,0.03835789276833555,0.003604785028112865,1.763101577758789,3
cm,gaussian_noise,0.03,30,0.674274762471517,0.024922345794632393,0.003614952614831675,1.755888859430949,3
cm,gaussian_noise,0.05,30,0.6463903983434042,0.0380241313161509,0.003764795942229521,1.6874656677246094,3
cm,gaussian_noise,0.1,30,0.5378835598627726,0.036352910164445786,0.004305696078872843,1.4742427269617717,3
cp,gaussian_noise,0.0,30,0.645281175772349,0.0078078179103270445,0.00026253947217090454,1.6807482639948528,3
cp,gaussian_noise,0.01,30,0.6459201176961263,0.00818393801819598,0.0002623018401852301,1.6822850704193115,3
cp,gaussian_noise,0.03,30,0.6310789982477824,0.008128668988608284,0.00026774364046848464,1.648079554239909,3
cp,gaussian_noise,0.05,30,0.59715602795283,0.00896500783087726,0.000279782584789673,1.5771642525990803,3
