target,seed,compact_r2,compact_rmse,compact_rpd,baseline_model,full_r2,full_rmse,full_rpd,delta_r2_compact_minus_full,delta_rmse_compact_minus_full,comparison
cm,1,0.6131835579872131,0.0039413009276285,1.608950972557068,RandomForest,0.5328071344218074,0.0043314693138201,1.4640203714370728,0.08037642356540575,-0.00039016838619160017,BeamK30 ResidualMLP - best full-spectrum baseline
cm,2,0.665773332118988,0.0036635969538118,1.7309107780456543,RandomForest,0.5328071344218074,0.0043314693138201,1.4640203714370728,0.13296619769718065,-0.0006678723600083004,BeamK30 ResidualMLP - best full-spectrum baseline
cm,3,0.6815969944000244,0.003575820766378,1.7733997106552124,RandomForest,0.5328071344218074,0.0043314693138201,1.4640203714370728,0.14878985997821703,-0.0007556485474421002,BeamK30 ResidualMLP - best full-spectrum baseline
cm,4,0.6721090078353882,0.0036287069633193,1.747553467750549,RandomForest,0.5328071344218074,0.0043314693138201,1.4640203714370728,0.1393018734135808,-0.0007027623505008003,BeamK30 ResidualMLP - best full-spectrum baseline
cp,0,0.6130648255348206,0.000274213770838,1.6090610027313232,Ridge,0.5059227347373962,0.0003098614862129,1.423948049545288,0.10714209079742432,-3.5647715374899976e-05,BeamK30 ResidualMLP - best full-spectrum baseline
cp,1,0.6096451282501221,0.0002754228540392,1.6019973754882812,Ridge,0.5059227347373962,0.0003098614862129,1.423948049545288,0.10372239351272583,-3.443863217370002e-05,BeamK30 ResidualMLP - best full-spectrum baseline
cp,2,0.6253187656402588,0.0002698367903075,1.6351611614227295,Ridge,0.5059227347373962,0.0003098614862129,1.423948049545288,0.11939603090286255,-4.002469590539998e-05,BeamK30 ResidualMLP - best full-spectrum baseline
cp,3,0.6264311075210571,0.0002694359517443,1.6375938653945925,Ridge,0.5059227347373962,0.0003098614862129,1.423948049545288,0.12050837278366089,-4.0425534468599986e-05,BeamK30 ResidualMLP - best full-spectrum baseline
cp,4,0.5901342034339905,0.0002822220828375,1.56340229511261,Ridge,0.5059227347373962,0.0003098614862129,1.423948049545288,0.08421146869659424,-2.7639403375400015e-05,BeamK30 ResidualMLP - best full-spectrum baseline
cw,0,0.6133608818054199,0.0055884240826905,1.6101258993148804,RandomForest,0.5117825844224655,0.0062797605203467,1.4328677654266355,0.10157829738295443,-0.0006913364376562002,BeamK30 ResidualMLP - best full-spectrum baseline
cw,1,0.6095147132873535,0.0056161507216443,1.6021767854690552,RandomForest,0.5117825844224655,0.0062797605203467,1.4328677654266355,0.09773212886488802,-0.0006636097987024001,BeamK30 ResidualMLP - best full-spectrum baseline
cw,2,0.6391913890838623,0.0053985224529001,1.6667646169662476,RandomForest,0.5117825844224655,0.0062797605203467,1.4328677654266355,0.1274088046613968,-0.0008812380674466007,BeamK30 ResidualMLP - best full-spectrum baseline
cw,3,0.5905160903930664,0.0057511523967326,1.5645674467086792,RandomForest,0.5117825844224655,0.0062797605203467,1.4328677654266355,0.07873350597060091,-0.0005286081236141006,BeamK30 ResidualMLP - best full-spectrum baseline
cw,4,0.6115149259567261,0.0056017485028697,1.6062960624694824,RandomForest,0.5117825844224655,0.0062797605203467,1.4328677654266355,0.09973234153426058,-0.0006780120174770003,BeamK30 ResidualMLP - best full-spectrum baseline
