model,target,target_calibration_percent,n_evaluations,mean_calibration_rows,median_calibration_rows,min_calibration_rows,max_calibration_rows,mean_test_rows,mean_r2,median_r2
Hybrid Cross-Gated NAM,cp,20,15,46.0,36.0,33,66,184.0,0.2505720774332682,0.3143742084503174
Hybrid Cross-Gated NAM,cp,30,15,68.8,53.0,50,99,161.2,0.26466512282689414,0.3842896819114685
Hybrid Cross-Gated NAM,cp,40,15,92.0,71.0,67,132,138.0,0.2652333696683248,0.3895030617713928
Hybrid Cross-Gated NAM,cp,50,15,115.2,89.0,84,165,114.8,0.2732148329416911,0.4109793305397033
Hybrid Cross-Gated NAM,cw,0,15,0.0,0.0,0,0,238.4,-0.6364737590154012,0.0314308404922485
Hybrid Cross-Gated NAM,cw,5,15,11.6,8.0,8,18,226.8,-0.02839521567026775,0.0993808507919311
Hybrid Cross-Gated NAM,cw,10,15,23.8,17.0,16,36,214.6,0.2498683412869771,0.3213210105895996
Hybrid Cross-Gated NAM,cw,20,15,47.6,34.0,33,72,190.8,0.32358288764953613,0.3599517941474914
Hybrid Cross-Gated NAM,cw,30,15,71.6,51.0,50,108,166.8,0.3095418572425842,0.365879476070404
Hybrid Cross-Gated NAM,cw,40,15,95.4,68.0,66,144,143.0,0.33047254880269367,0.357460081577301
Hybrid Cross-Gated NAM,cw,50,15,119.2,85.0,82,180,119.2,0.2975483695665995,0.3829440474510193
