target,model,budget,variant,fwhm_nm,input_features,effective_channels,r2_mean,r2_std,rmse_mean,rmse_std,rpd_mean,rpd_std,train_seconds_mean,raw_r2_mean,delta_r2_vs_raw
cab,BeamK20_ResidualMLP,20,raw_nm,,20,20,0.5607546170552572,0.004775833794291524,8.986175985270897,0.04885479954999229,1.5108044942220051,0.008214362588417182,8.352450004666784,0.5607546170552572,0.0
car,BeamK20_ResidualMLP,20,gaussian_fwhm10,10.0,20,20,0.508623480796814,0.018784579495779132,2.0070062852979422,0.038584174985252774,1.4293009837468464,0.02778387541728643,3.9548104956666066,0.5053670803705851,0.003256400426228878
car,BeamK20_ResidualMLP,20,gaussian_fwhm20,20.0,20,20,0.5089996655782064,0.01729698950010309,2.00627621222741,0.03545211725387026,1.4297643502553303,0.025420030494924462,4.127687016666793,0.5053670803705851,0.0036325852076213305
car,BeamK20_ResidualMLP,20,merged_gaussian_fwhm10,10.0,14,14,0.4971567988395691,0.03090884520745437,2.029910147901364,0.06188286112615703,1.4136826197306316,0.04235334818962976,3.3970997320002425,0.5053670803705851,-0.008210281531015995
car,BeamK20_ResidualMLP,20,merged_gaussian_fwhm20,20.0,13,13,0.5142399867375692,0.02763134998820874,1.9952019783818498,0.05722029597103999,1.4381999969482422,0.04189713144743875,6.627197215666759,0.5053670803705851,0.008872906366984123
car,BeamK20_ResidualMLP,20,raw_nm,,20,20,0.5053670803705851,0.023870455247828666,2.0134987313746833,0.04884618717645165,1.424902041753133,0.03491979892521272,3.3798063913332044,0.5053670803705851,0.0
cbc,BeamK20_ResidualMLP,20,gaussian_fwhm10,10.0,20,20,0.7110969225565592,0.022158190918894066,0.0034316342265321514,0.00013088975296033888,1.8648431301116943,0.07027076918738061,11.563412040666586,0.7112007737159729,-0.0001038511594136926
cbc,BeamK20_ResidualMLP,20,gaussian_fwhm20,20.0,20,20,0.7107755740483602,0.02091567715835463,0.0034337275174910024,0.00012346683906436765,1.863507072130839,0.06618251751931449,11.675757445666704,0.7112007737159729,-0.0004251996676126746
cbc,BeamK20_ResidualMLP,20,merged_gaussian_fwhm10,10.0,18,18,0.7103487253189087,0.01576157161010882,0.003436886784734534,9.385020968692897e-05,1.8611405690511067,0.051160320658959535,10.994553244666728,0.7112007737159729,-0.000852048397064209
cbc,BeamK20_ResidualMLP,20,merged_gaussian_fwhm20,20.0,17,17,0.7074694832166036,0.0105701470340717,0.003454411529931025,6.21990798039042e-05,1.8511694272359211,0.03309616271710713,13.062996547000012,0.7112007737159729,-0.0037312904993692664
cbc,BeamK20_ResidualMLP,20,raw_nm,,20,20,0.7112007737159729,0.02242542693665902,0.0034309757921041077,0.00013250005847994405,1.8652462164560955,0.0711729129015932,11.48495285966654,0.7112007737159729,0.0
cm,BeamK20_ResidualMLP,20,gaussian_fwhm10,10.0,20,20,0.671347459157308,0.03499962241204032,0.0036295621616026503,0.0001912136490233178,1.7503019173940022,0.08999150150054784,9.351573561333225,0.6690819462140402,0.0022655129432678223
cm,BeamK20_ResidualMLP,20,gaussian_fwhm20,20.0,20,20,0.6710364818572998,0.03402804844491681,0.003631461324076251,0.00018603347339275,1.749221682548523,0.08767340736629652,9.736183745666645,0.6690819462140402,0.0019545356432596472
cm,BeamK20_ResidualMLP,20,merged_gaussian_fwhm10,10.0,16,16,0.6628048618634542,0.015069859870838935,0.00367921580329755,8.236257614424212e-05,1.7241406440734863,0.03871982852908186,8.637387394666652,0.6690819462140402,-0.0062770843505859375
cm,BeamK20_ResidualMLP,20,merged_gaussian_fwhm20,20.0,13,13,0.6614857117335001,0.013438502766074039,0.003686533240960592,7.346541765698796e-05,1.720600684483846,0.034547978136749764,10.49779904333324,0.6690819462140402,-0.007596234480540032
cm,BeamK20_ResidualMLP,20,raw_nm,,20,20,0.6690819462140402,0.03994653740554679,0.0036411111470092627,0.0002169716938473225,1.7456111510594685,0.10098040489307658,9.205851830999942,0.6690819462140402,0.0
cp,BeamK20_ResidualMLP,20,gaussian_fwhm10,10.0,20,20,0.6659601330757141,0.015501091490015738,0.00025473613834102026,5.9416476744070975e-06,1.7327276865641277,0.04081989056555488,15.321175775333282,0.6696855227152506,-0.0037253896395365027
cp,BeamK20_ResidualMLP,20,gaussian_fwhm20,20.0,20,20,0.654075543085734,0.010280179211159332,0.00025925591035814733,3.861826662631348e-06,1.702149232228597,0.02547581561446454,10.785006850333275,0.6696855227152506,-0.015609979629516602
cp,BeamK20_ResidualMLP,20,merged_gaussian_fwhm10,10.0,19,19,0.6551109751065572,0.00195792355866071,0.0002588860666814382,7.34993440908441e-07,1.7043368021647136,0.004840779268650273,12.178475491666708,0.6696855227152506,-0.014574547608693367
