target,family,fusion_method,model,model_key,budget,beam_bands,ssl_embedding_dim,features,comment,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,rpd_mean,rpd_std,train_seconds_mean,best_epoch_mean
cm,fusion_ablation,Beam + SSL concat,BeamK30_SSL128_ConcatMLP,concat_mlp,30,30,128,158,Simple concatenation baseline.,0.0038323076718343,7.744943486810066e-05,0.0023285911884158,7.242868676107404e-05,0.6341823140780131,0.0148672468845055,1.6551559766133626,0.0330690395013483,8.87707299666666,132.66666666666666
cm,ssl_ablation,SSL only,SSL128_Only_MLP,ssl_only_mlp,30,0,128,128,Tests whether the SSL embedding alone carries trait signal.,0.0048941707346612,7.473457570880422e-05,0.0030712270333121,0.0001368303584448,0.403443694114685,0.0182868837449596,1.295896331469218,0.0196365433482924,11.39543591266666,191.0
cp,labelled_only,Beam only,BeamK30_ResidualMLP,beam_only_residual,30,30,0,30,Strong compact labelled baseline.,0.0002625394721709,2.898777308460546e-06,0.0001696802210062,1.1505183149960296e-06,0.645281175772349,0.007807817910327,1.6807482639948528,0.0186752057511876,11.695849772666673,225.66666666666663
cp,proposed_hybrid,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,cross_gated_nam,30,30,128,158,Proposed hybrid fusion/head combination.,0.0002673573142888,7.521310917407541e-06,0.0001758806271633,5.915442579381743e-06,0.6319787502288818,0.0208585833041725,1.6511834065119426,0.0457316156164168,14.036122844333326,185.33333333333331
cp,fusion_ablation,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,additive_fusion,30,30,128,158,Projects both streams to a shared latent space and adds them.,0.0002683323155044,4.108541537885177e-06,0.0001752563791039,2.429693795274209e-06,0.6294272343317667,0.0113955132540037,1.644584099451701,0.024963947584445,8.789648359333379,141.66666666666666
cp,fusion_ablation,FiLM conditioning,BeamK30_SSL128_FiLMFusion,film_fusion,30,30,128,158,Uses SSL context to scale and shift the Beam representation.,0.0002735103291616,9.459140286042006e-06,0.0001780033732453,6.371411376605116e-06,0.6147405505180359,0.0268923846299607,1.6144614219665527,0.054741892096647,7.350712408000049,85.66666666666667
cp,fusion_ablation,Beam + SSL concat,BeamK30_SSL128_ConcatMLP,concat_mlp,30,30,128,158,Simple concatenation baseline.,0.0003009071881015,7.5241255954359554e-06,0.000193856889382,6.390656496042915e-06,0.5338713328043619,0.0233100048515828,1.4669326543807983,0.0366659801377511,9.415222743333326,216.66666666666663
cp,ssl_ablation,SSL only,SSL128_Only_MLP,ssl_only_mlp,30,0,128,128,Tests whether the SSL embedding alone carries trait signal.,0.0003635664439556,3.957442661234344e-06,0.0002443581227756,1.0553157979863871e-05,0.3197609186172485,0.014787579127607,1.213702877362569,0.0132480806151449,7.433902797333341,161.0
cw,labelled_only,Beam only,BeamK30_ResidualMLP,beam_only_residual,30,30,0,30,Strong compact labelled baseline.,0.0052396078696704,0.0001724747022806,0.0034678677717844,0.0001254115790254,0.6598751942316691,0.0221870643201282,1.718579649925232,0.0575505077807016,7.410093996000019,165.0
cw,fusion_ablation,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,additive_fusion,30,30,128,158,Projects both streams to a shared latent space and adds them.,0.0056447830498153,6.719213784802725e-05,0.00361714962249,2.6453686082296263e-05,0.6054857969284058,0.0093933356799638,1.5942004919052124,0.0189694151575132,10.56391514533332,242.66666666666663
cw,proposed_hybrid,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,cross_gated_nam,30,30,128,158,Proposed hybrid fusion/head combination.,0.0056931536655717,5.726725820119125e-05,0.003647466811041,5.692619099374372e-05,0.5987063844998678,0.0080954298657536,1.5806124210357666,0.0158101650079496,11.288444800333329,183.33333333333331
cw,fusion_ablation,FiLM conditioning,BeamK30_SSL128_FiLMFusion,film_fusion,30,30,128,158,Uses SSL context to scale and shift the Beam representation.,0.005701044698439,7.863602606613736e-05,0.003686184529215,9.126485480759408e-05,0.5975693265597025,0.0110569885709282,1.5785205761591594,0.0219441750490091,7.340980322999997,120.33333333333331
cw,fusion_ablation,Beam + SSL concat,BeamK30_SSL128_ConcatMLP,concat_mlp,30,30,128,158,Simple concatenation baseline.,0.0063701920720627,0.0001341536451943,0.0041035677616794,0.0001234595345622,0.4974716504414876,0.0210479785417148,1.4129489262898762,0.0300759769343127,6.670812691666659,185.66666666666663
cw,ssl_ablation,SSL only,SSL128_Only_MLP,ssl_only_mlp,30,0,128,128,Tests whether the SSL embedding alone carries trait signal.,0.00728079049509,7.537627587385926e-05,0.0048029908599952,4.8008030799449605e-05,0.3436806400616963,0.0135780656203973,1.235952337582906,0.0128158758641294,7.183564861333328,209.0
