target,selector,model,budget,bands,label_fraction,label_percent,train_subset_rows_mean,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,rpd_mean,rpd_std,best_epoch_mean
cab,BeamSearch,TorchMLP,30,30,0.5,50,804.0,9.643672162572386,0.24030334871519446,7.142699559529622,0.23451531331246966,0.493926743666331,0.025379183875355888,1.4083469311396282,0.03463178823494607,105.0
cab,BeamSearch,TorchMLP,30,30,1.0,100,1609.0,8.85296727296361,0.3486609096009041,6.413774649302165,0.2828087852694894,0.5732482075691223,0.03324302263381839,1.5351271231969197,0.06170635332505903,271.6666666666667
car,BeamSearch,TorchMLP,30,30,0.1,10,134.0,2.441861825988331,0.15720032645315715,1.8046822547912598,0.1048295445659715,0.27079373598098755,0.09380140570511307,1.1777208646138508,0.07572321838360856,76.66666666666667
car,BeamSearch,TorchMLP,30,30,0.25,25,334.0,2.267731331889928,0.1508839948615466,1.6164826949437459,0.13510242175655762,0.3709676464398702,0.0850216249703231,1.2682648499806721,0.08134983754458226,119.0
car,BeamSearch,TorchMLP,30,30,0.5,50,668.0,2.1358031877377797,0.011856942584553526,1.5083320538202922,0.008604494332821679,0.4436586896578471,0.006176786301660118,1.3428017298380535,0.007455092952280686,245.33333333333334
car,BeamSearch,TorchMLP,30,30,1.0,100,1335.0,2.0051512834942593,0.008697135963771762,1.395354191462199,0.012900721746767459,0.5096460382143656,0.0042493102843574,1.4302847782770793,0.006216582698777245,321.6666666666667
cbc,BeamSearch,TorchMLP,30,30,0.1,10,220.0,0.0045309494868560965,0.0001810667972845063,0.0027885264717042446,0.0002114759747429519,0.49630260467529297,0.04036046276461019,1.4125290711720784,0.05608946966925139,318.3333333333333
cbc,BeamSearch,TorchMLP,30,30,0.25,25,551.0,0.0041873761818579025,0.0003768316350312954,0.0025283979872862497,0.00014396622309988734,0.5679325064023336,0.07624682204118559,1.535362720489502,0.1426800722360871,416.0
cbc,BeamSearch,TorchMLP,30,30,0.5,50,1102.0,0.0038157459354683765,0.00016763078809618154,0.002365651074796915,4.4293476391467755e-05,0.6426889499028524,0.030968531124867586,1.6777253150939941,0.07556737621691309,247.33333333333334
cbc,BeamSearch,TorchMLP,30,30,1.0,100,2203.0,0.0034972484954957192,2.925652935613053e-05,0.002150558944170674,1.0183397847046307e-05,0.7002201676368713,0.00500329149392285,1.8281882603963215,0.015368093808103967,428.3333333333333
cm,BeamSearch,TorchMLP,30,30,0.1,10,294.0,0.0044731248653047465,0.00035771514714219094,0.002792459291716417,0.00014988319451351398,0.49962520599365234,0.07869537491626079,1.4238954385121663,0.11708652612415292,274.6666666666667
cm,BeamSearch,TorchMLP,30,30,0.25,25,736.0,0.004161864192770579,0.00011223151867369006,0.002600406762212515,5.9868171415048446e-05,0.5684690078099569,0.023213648173511115,1.5244248708089192,0.04129862765731392,377.0
cm,BeamSearch,TorchMLP,30,30,0.5,50,1472.0,0.003904094817462738,0.00017768095301850249,0.0023756620939821005,4.6643304381692066e-05,0.6199281414349874,0.034939059796045335,1.6264808575312297,0.07240568647313934,380.3333333333333
cm,BeamSearch,TorchMLP,30,30,1.0,100,2944.0,0.0036587357944228107,5.8987037982331496e-05,0.002241341086725394,6.386427480744462e-05,0.6666019360224406,0.010699880432542316,1.7335137526194255,0.028202878368177666,578.6666666666666
cp,BeamSearch,TorchMLP,30,30,0.1,10,220.0,0.0003385278720479178,1.329819041376782e-05,0.00022677311305111894,1.010462184645309e-05,0.4096696774164836,0.04640863824582349,1.304707368214925,0.05112719025430833,453.3333333333333
cp,BeamSearch,TorchMLP,30,30,0.25,25,551.0,0.00032146118955285956,2.07010422477335e-05,0.00021759886294603348,2.1510006574832468e-05,0.4667685230573018,0.06893644774358619,1.376327395439148,0.08767127213748555,464.0
cp,BeamSearch,TorchMLP,30,30,0.5,50,1102.0,0.00029025681847220794,1.0583862301399134e-05,0.00018929204573699585,2.7305196682429796e-06,0.5660803318023682,0.03186037953227237,1.521453579266866,0.05465552364605855,342.6666666666667
cp,BeamSearch,TorchMLP,30,30,1.0,100,2203.0,0.0002716192118245589,6.061694391887396e-06,0.0001778180837087954,3.4281562122062276e-06,0.6202263633410136,0.017053621588743295,1.6249637206395466,0.03580564819641031,386.3333333333333
cw,BeamSearch,TorchMLP,30,30,0.1,10,168.0,0.0073004759200318405,0.0002548110638647182,0.004973577645917733,0.00020597153279677417,0.3396380543708801,0.046303759745777634,1.2335232098897297,0.04262588674192828,147.33333333333334
cw,BeamSearch,TorchMLP,30,30,0.25,25,419.0,0.006856948678711541,0.0007398999013129273,0.004523197188973427,0.0004548348629034352,0.4133932590484619,0.12250877182148295,1.3230798244476318,0.15057014476765418,127.66666666666667
cw,BeamSearch,TorchMLP,30,30,0.5,50,838.0,0.005845479787208896,0.00016969305931541033,0.003875596448779106,9.742222388163443e-05,0.5767359534899393,0.02466623665594113,1.5401785373687744,0.044346380831188394,455.0
cw,BeamSearch,TorchMLP,30,30,1.0,100,1676.0,0.0056112707053266936,0.0001452604798246619,0.0037445545506974063,6.067277895410648e-05,0.6100189288457235,0.02012275707829163,1.604291280110677,0.04178992596519162,409.6666666666667
